StudentID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
00001,5,5,1,2,1,5,4,5,5,5
00002,2,4,1,3,3,5,3,3,2,2
00003,2,5,3,1,5,1,2,5,4,3
00004,3,4,2,1,1,3,2,1,2,4
00005,2,4,1,2,3,1,2,2,1,3
00006,4,2,4,2,2,5,2,1,3,2
00007,1,2,3,5,2,3,1,4,2,5
00008,1,1,2,2,1,2,5,3,2,5
00009,5,1,1,5,4,3,3,5,3,2
00010,5,4,1,3,4,4,5,5,2,3
00011,3,5,5,4,4,2,2,1,1,2
00012,5,1,5,1,2,4,2,3,2,3
00013,5,2,4,1,1,5,2,3,1,3
00014,5,1,,5,4,2,4,1,1,1
00015,5,3,3,1,4,5,,5,2,2
00016,3,1,1,4,5,1,2,3,4,1
00017,1,5,1,1,4,3,5,3,1,4
00018,4,2,1,2,5,2,,4,2,5
00019,14,5,5,4,5,1,5,3,4,2
00020,4,5,5,4,4,5,2,2,5,1
00021,4,3,4,5,3,4,2,4,4,5
00022,4,4,2,1,2,2,1,5,2,4
00023,5,2,1,5,3,4,2,5,4,4
00024,3,2,5,1,4,2,4,5,4,2
00025,2,3,3,3,1,3,5,3,3,1
00026,11,1,4,2,2,5,4,2,5,5
00027,5,5,1,1,2,3,5,2,5,2
00028,1,5,5,1,2,4,1,3,3,1
00029,4,1,2,4,1,4,4,4,2,2
00030,1,4,1,3,1,3,1,3,5,4
